f797dc96c582aa75efb4d6c22dbcc683	f88ce5636291034999aef27f920896d5	The Rave-Ups	Positively Lost Me	2015-09-03	http://soundcloud.com/mr-shuffleupagus/positively-lost-me-the-rave-ups-1985	
ced09fee8ad58f845c29adb35436405c	73b7730508f8d08e02ba63ca20ad9a83	Emerson, Lake & Palmer	Karn Evil 9	2015-09-03	http://www.youtube.com/watch?v=IwSTe9uit48	spotify:track:1oc5gffksuTK6vXF2k9zA3
064273bc213f28189135d6e9474e3914	175b4c96dfa5c951963ed788500dc4da	ì•¼ê´‘í† ë¼ (neon bunny)	Comm Ave.	2015-09-03	http://www.youtube.com/watch?v=OZ8rcMxVpbw	
ac51a3dd37b5679f347eb53cd14f3a42	703d56794954a91c6141c8cbd0228ee9	Amadou & Mariam feat. Santigold	Dougou Badia	2015-09-03	http://www.youtube.com/watch?v=HhL_asWgVTg	spotify:track:5TlV4tcD7lOiYBmJ77clYq
e988f1c95ede4583eeb319e6d93f0d20	7e562307bce19d148fdbc89e4305c58e	Donald Byrd	Think Twice	2015-09-03	http://www.youtube.com/watch?v=R7qcPCUn44E	spotify:track:1vq6x0VSLtVUHMbNKHh9sF
cf9b9cb16db415bad7419d9d537cde92	03f5e9bd1d04a08dd38feff960ac7484	Mr Little Jeans	Oh Sailor	2015-09-03	http://soundcloud.com/mrlittlejeans/oh-sailor-1	spotify:track:6Y9XT5CvpjfUBASN4nbWgT
4384382d1527845a1d26b3e33a6f0fd4	b020b053aecf123704171f8747a64251	2CELLOS	Gabriel's Oboe (The Mission)	2015-09-03	http://www.youtube.com/watch?v=Dxxg6NenmBQ	
54262e0f4248d13c7165ddc20dadfc91	efb37abf1cea2687c595d50e8cd3086b	Clare and the Reasons	Ooh You Hurt Me So	2015-09-03	http://www.youtube.com/watch?v=L8SvrnMQ8hs	spotify:track:1Pq1MoEQT6ECcPh30qLbgU
dce019339cb3502c564db1c2a6a218dc	5c4100173984150cdb1752c067b5496b	Lemanik	Me Pides	2015-09-03	http://www.youtube.com/watch?v=Pr57YoGt8-g	spotify:track:6lfQzZB3X1VVsZP1aTQzV1
1e96fc95c08a451102324677f6f5ce2c	6fa897d05e2511cbeeff7537e1ae68e1	Beth Orton	Call me the Breeze	2015-09-03	http://www.youtube.com/watch?v=08XxjGkCbTc	spotify:track:4xJUo5fp76x88VMw678WQf
e695de5cdb8cab271bbb90ee02e0f2ff	e9f21e9628b97e38380f0da4f4959c7b	Bic Runga	Sway	2015-09-03	http://www.youtube.com/watch?v=4jFz_7vbgNQ	spotify:track:3JtRSUOj7wSAXFG76T89v8
3bc128d10d79129ccb3a749ab60fd716	ba24798167415efb834b20550613ad5c	Natalie Prass	My Baby Don't Understand Me	2015-09-03	http://hypem.com/item/28svy	spotify:track:1pywDdk4Vd7uJ50LQRJCCx
5b330fe360220d193400b57be5e1977f	774bf1e9530423a759d1604f97f1d9da	Johnny Bond & His Red River Valley Boys	So Round, So Firm, So Fully Packed	2015-09-03	http://www.youtube.com/watch?v=InJs0kxIk7M	
43277f01f355f7e286ec5fb1dbdd88f0	0749971495810351f0e4b8e34361de90	Maurice Jarre	Doctor Zhivago - Prelude and Lara's Theme	2015-09-03	http://www.youtube.com/watch?v=1tCDzHP302c	spotify:track:3KxcYGKusr2d5O1goJVatO
a73bb123071fc8ab1b675911008ea429	fd3292545fd8b2c8dcbdb86335052238	David Shelley	You Won't Be Lonely	2015-09-03	http://www.youtube.com/watch?v=WLx2jZxpUsE	
a66119391558d3b9b4dfdc08703b1a57	845e250cd330505b80347a6337f4a969	Adam & The Ants	Zerox	2015-09-03	http://hypem.com/item/1pp6n	spotify:track:6JtBt73BeJBHJ4O6wnls2c
6faa4399a345aa857aa556564a16c3c3	ef786ba04e6cd1e0cdda30227836a3d3	Pulp	The Fear	2015-09-03	http://www.youtube.com/watch?v=HxPu7XIX2Pc	spotify:track:2FxcRDt0QiSKKYRmMq00dT
4d97e407cff5ef328105f84f28d25d17	1643e7c1df27dd37dedee5d03c2b6f38	Bastille	Flaws (Acoustic)	2015-09-03	http://www.youtube.com/watch?v=Y3D-B56YgXQ	
ed4141244e075240817a63b08497f66a	ce6de4aa4ab5b57bed68809f55cda5ed	The Antlers	Director	2015-09-03	http://www.youtube.com/watch?v=ZJDubIKkN94	spotify:track:2q1yijCl3BrPQOuVYvjysi
5f33277505f805a7cbe0350a5a7202b7	626a6f3f0c696c7a113ff7b025ab95d7	Soundgarden	Blow Up The Outside World	2015-09-03	http://www.youtube.com/watch?v=GWuNe4ahfiI	spotify:track:17YjA62oHG4JL2qXMo3iqN
6778324e424e3ac606051cf7773f7db2	a13e6110802f45bbf4768a731b33f8b6	Brian Eno	The True Wheel	2015-09-03	http://www.youtube.com/watch?v=FByM0r-VOLc	spotify:track:45LOQYuy2m5Ggpgkrzic8I
6d9694017ab55bf0662cbec0c84c99ed	86e99d48f6db88d21d1699b12f7bc6fc	Gayle Adams	Love Fever	2015-09-03	http://www.youtube.com/watch?v=FOYO-U4MX1c	spotify:track:0FkUIysh68ZdHTgJkvmogL
17e920654dc2d4dd862d6d5a9b5572a6	341b473065110b883c6fce6d3714b534	Feeling Good	Nina Simone	2015-09-03	http://www.youtube.com/watch?v=oHs98TEYecM	
183ee126b31ee3d0c72956147fb5abc5	f8f28aeddb98e8b5ed29950f76c8911d	Liz Phair	Stratford-on-Guy	2015-09-03	http://www.youtube.com/watch?v=IshXsLMTzFM	spotify:track:5SMaoDryGYSqsXKIyF9Alh
